IdLista;IdProducto;Importe;Porcentaje;cantidadminima
1;328;40;6359,628031;1
2;328;7;1030,434905;1
1;6388;70;559,4202899;1
2;6388;62;484,057971;1
4;6388;55;418,115942;1
2;10928;65;55,67868206;1
1;10928;220;426,9124624;1
4;10928;59;41,30834218;1
1;18763;550;203,030303;1
2;18763;247;36,08815427;1
4;18763;230;26,72176309;1
1;671;220;12334,78049;1
1;3951;150;128,8329519;1
2;3951;86;31,19755912;1
4;3951;83;26,62090008;1
1;16264;70;286,5380738;1
2;16264;27;49,09325705;1
4;16264;25;38,04931209;1
2;18242;282;40,54176358;1
1;18242;530;164,1387755;1
4;18242;263;31,07263766;1
4;2798;754;20,26581802;1
1;2798;1010;61,0987748;1
2;2798;784;25,05093014;1
4;6617;220;25;1
1;6617;410;132,9545455;1
2;6617;239;35,79545455;1
1;18321;220;151,0555746;1
2;18321;150;71,17425539;1
4;18321;142;62,04496177;1
